ID,Age,Education,Experience,Income,ZIP Code,Married,Dependents,Credit_Card,Num_Credit_Card,Monthly_CC_Usage,Credit_Score,Self_Employed,Salaried,Loan_Amount,Nationality,Personal_Loan,Securities_Account,CD_Account,Online_Banking,Last_Two_Years_Tax_Return_Filled,Living_Property,Property_Area,Loan_Status,
1,25.00 ,1,1.00 ,49000.00 ,486113,0,4,0,4,16000.00 ,Good,Yes,No,100000.00 ,Indian,0,1,0,0,Yes ,Rented,Urban,Approved,
2,45.00 ,1,19.00 ,34000.00 ,464112,0,3,0,4,15000.00 ,Good,No,Yes,100000.00 ,Indian,0,1,0,0,No,Owned,Semi Urban,Reject,
3,39.00 ,1,15.00 ,11000.00 ,475001,0,1,0,4,10000.00 ,Good,Yes,No,50000.00 ,Indian,0,0,0,0,Yes ,Rented,Rural,Reject,
4,35.00 ,2,9.00 ,100000.00 ,462030,0,1,0,4,27000.00 ,Good,No,Yes,1000000.00 ,Indian,0,0,0,0,Yes ,Owned,Urban,Approved,
5,35.00 ,2,8.00 ,45000.00 ,456222,1,4,1,4,10000.00 ,Good,Yes,No,100000.00 ,Indian,0,0,0,0,Yes ,Owned,Urban,Approved,
6,37.00 ,2,13.00 ,29000.00 ,456771,0,4,0,4,4000.00 ,Good,No,Yes,100000.00 ,Indian,0,0,0,1,No,Owned,Urban,Approved,
7,53.00 ,2,27.00 ,72000.00 ,456771,0,2,0,4,15000.00 ,Good,Yes,No,200000.00 ,Indian,0,0,0,1,Yes ,Rented,Urban,Approved,
8,50.00 ,3,24.00 ,22000.00 ,456771,1,1,1,4,3000.00 ,Standard,No,Yes,50000.00 ,Indian,0,0,0,0,Yes ,Owned,Urban,Approved,
9,35.00 ,2,10.00 ,81000.00 ,483773,0,3,0,4,6000.00 ,Standard,Yes,No,50000.00 ,Indian,0,0,0,1,Yes ,Owned,Semi Urban,Approved,
10,34.00 ,3,9.00 ,180000.00 ,475002,0,1,0,4,89000.00 ,Good,No,Yes,1000000.00 ,Indian,1,0,0,0,No,Owned,Semi Urban,Approved,
11,65.00 ,3,39.00 ,105000.00 ,462016,0,4,0,1385,24000.00 ,Standard,Yes,No,1000000.00 ,Indian,0,0,0,0,Yes ,Rented,Semi Urban,Approved,
12,29.00 ,2,5.00 ,45000.00 ,455115,0,3,0,4,1000.00 ,Good,No,No,100000.00 ,Indian,0,0,0,1,Yes ,Owned,Urban,Approved,
13,48.00 ,3,23.00 ,114000.00 ,462003,0,2,0,4,38000.00 ,Good,No,Yes ,1000000.00 ,Indian,0,1,0,0,Yes ,Owned,Semi Urban,Approved,
14,59.00 ,2,32.00 ,40000.00 ,462016,0,4,0,4,25000.00 ,Good,Yes ,Yes,100000.00 ,Indian,0,0,0,1,No,Owned,Rural,Reject,
15,67.00 ,1,41.00 ,112000.00 ,462030,0,1,0,4,20000.00 ,Good,Yes,Yes,1000000.00 ,Indian,0,1,0,0,Yes ,Owned,Urban,Approved,
16,60.00 ,3,30.00 ,22000.00 ,462021,1,1,1,4,15000.00 ,Good,Yes,Yes,50000.00 ,Indian,0,0,0,1,Yes ,Owned,Urban,Approved,
17,38.00 ,3,14.00 ,130000.00 ,462030,0,4,0,5,47000.00 ,Good,Yes,Yes,1000000.00 ,Indian,1,0,0,0,Yes ,Owned,Urban,Approved,
18,42.00 ,1,18.00 ,81000.00 ,462021,0,4,0,5,24000.00 ,Good,Yes,No,50000.00 ,Indian,0,0,0,0,No,Owned,Urban,Reject,
19,46.00 ,3,21.00 ,193000.00 ,462008,0,2,0,5,81000.00 ,Good,No,Yes,1000000.00 ,Indian,1,0,0,0,Yes ,Rented,Urban,Approved,
20,55.00 ,2,28.00 ,21000.00 ,462001,1,1,1,5,5000.00 ,Good,Yes,No,50000.00 ,Indian,0,1,0,0,No,Owned,Semi Urban,Reject,  
21,56.00 ,2,31.00 ,25000.00 ,462030,0,4,0,5,9000.00 ,Good,No,No,100000.00 ,Indian,0,0,0,1,Yes ,Rented,Semi Urban,Approved,
22,57.00 ,3,27.00 ,63000.00 ,462001,0,3,0,5,20000.00 ,Good,No,Yes ,200000.00 ,Indian,0,0,0,1,Yes ,Owned,Semi Urban,Approved,
23,29.00 ,1,5.00 ,62000.00 ,462030,0,1,0,5,12000.00 ,Standard,Yes ,Yes,200000.00 ,Indian,0,0,0,1,Yes ,Owned,Urban,Approved,
24,44.00 ,1,18.00 ,43000.00 ,462023,0,2,0,5,7000.00 ,Standard,Yes,Yes,100000.00 ,Indian,0,1,0,0,Yes ,Owned,Semi Urban,Approved,
25,36.00 ,1,11.00 ,152000.00 ,462003,1,2,1,5,39000.00 ,Standard,Yes,Yes,1000000.00 ,Indian,0,0,0,0,Yes ,Rented,Rural,Reject,
26,43.00 ,1,19.00 ,29000.00 ,462016,0,3,0,5,5000.00 ,Standard,Yes,Yes,100000.00 ,Indian,0,0,0,1,Yes ,Owned,Urban,Approved,
27,40.00 ,3,16.00 ,83000.00 ,462001,0,4,0,5,2000.00 ,Standard,Yes,No,50000.00 ,Indian,0,0,0,0,Yes ,Owned,Urban,Approved,
28,46.00 ,1,20.00 ,158000.00 ,462001,1,1,1,5,24000.00 ,Standard,No,Yes,1000000.00 ,Indian,0,0,0,1,Yes ,Owned,Urban,Approved,
29,56.00 ,3,30.00 ,48000.00 ,462001,1,1,1,5,22000.00 ,Standard,Yes,No,100000.00 ,Indian,0,0,0,1,No,Rented,Urban,Reject,
30,38.00 ,2,13.00 ,119000.00 ,462016,1,1,1,5,33000.00 ,Standard,No,Yes,1000000.00 ,Indian,1,0,1,1,Yes ,Owned,Urban,Approved,
31,59.00 ,3,35.00 ,35000.00 ,462031,0,1,0,5,12000.00 ,Standard,Yes,No,100000.00 ,Indian,0,0,0,1,Yes ,Owned,Semi Urban,Approved,
32,40.00 ,2,16.00 ,29000.00 ,462036,0,1,0,5,20000.00 ,Standard,No,No,100000.00 ,Indian,0,0,0,1,Yes ,Owned,Semi Urban,Approved,
33,53.00 ,3,28.00 ,41000.00 ,462001,0,2,0,5,6000.00 ,Standard,No,Yes ,100000.00 ,Indian,0,0,0,0,No,Owned,Semi Urban,Approved,
34,30.00 ,3,6.00 ,18000.00 ,462015,0,3,0,5,9000.00 ,Standard,Yes ,Yes,50000.00 ,Indian,0,0,0,0,Yes ,Owned,Urban,Reject,
35,31.00 ,3,5.00 ,50000.00 ,462023,0,4,0,5,18000.00 ,Standard,Yes,Yes,200000.00 ,Indian,0,0,0,1,Yes ,Owned,Semi Urban,Approved,
36,48.00 ,1,24.00 ,81000.00 ,462023,0,3,0,5,7000.00 ,Standard,Yes,Yes,50000.00 ,Indian,0,0,0,0,Yes ,Owned,Rural,Reject,
37,59.00 ,1,35.00 ,121000.00 ,462001,1,1,1,5,29000.00 ,Standard,Yes,Yes,1000000.00 ,Indian,0,0,0,0,No,Rented,Urban,Approved,
38,51.00 ,3,25.00 ,71000.00 ,462018,0,1,0,5,14000.00 ,Standard,Yes,No,200000.00 ,Indian,0,0,0,0,Yes ,Owned,Urban,Approved,
39,42.00 ,3,18.00 ,141000.00 ,462001,0,3,0,5,50000.00 ,Standard,No,Yes,1000000.00 ,Indian,1,1,1,1,Yes ,Rented,Urban,Approved,
40,38.00 ,3,13.00 ,80000.00 ,462024,0,4,0,5,7000.00 ,Standard,Yes,No,50000.00 ,Indian,0,0,0,1,Yes ,Owned,Urban,Approved,
41,57.00 ,3,32.00 ,84000.00 ,462001,0,3,0,1288,16000.00 ,Good,No,No,50000.00 ,Indian,0,1,0,0,No,Owned,Urban,Reject,
42,34.00 ,1,9.00 ,60000.00 ,462008,0,3,0,5,23000.00 ,Good,No,Yes ,200000.00 ,Indian,0,0,0,0,Yes ,Owned,Semi Urban,Approved,
43,32.00 ,2,7.00 ,132000.00 ,462008,0,4,0,5,11000.00 ,Good,Yes ,Yes,1000000.00 ,Indian,1,0,0,1,Yes ,Rented,Semi Urban,Approved,
